kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count
0115.02,CONFIRMED,7.125943870,1.4060000e-05,-1.4060000e-05,1.79,2.600e-01,-2.300e-01,3
0774.01,FALSE POSITIVE,7.442652004,7.0200000e-07,-7.0200000e-07,15.03,4.730e+00,-1.580e+00,1
0775.01,CONFIRMED,16.384899880,5.2190000e-05,-5.2190000e-05,2.00,9.000e-02,-1.000e-01,3
0775.02,CONFIRMED,7.877416300,1.4930000e-05,-1.4930000e-05,2.16,9.000e-02,-1.100e-01,3
0775.03,CONFIRMED,36.445400100,1.8090000e-04,-1.8090000e-04,1.99,9.000e-02,-9.000e-02,3
0776.01,CONFIRMED,3.728732147,9.3600000e-07,-9.3600000e-07,6.02,1.220e+00,-5.200e-01,1
0777.01,CANDIDATE,40.419503700,1.1390000e-04,-1.1390000e-04,7.51,1.120e+00,-9.100e-01,1
0778.01,CONFIRMED,2.243380573,2.6700000e-06,-2.6700000e-06,1.99,1.000e-01,-1.200e-01,1
0779.01,FALSE POSITIVE,10.405998015,2.5150000e-06,-2.5150000e-06,11.23,2.920e+00,-1.950e+00,1
0780.01,CONFIRMED,2.337437946,1.9510000e-06,-1.9510000e-06,2.34,1.700e-01,-9.000e-02,2
0780.02,CANDIDATE,7.240661200,1.6170000e-05,-1.6170000e-05,19.45,1.400e+00,-7.100e-01,2
0115.03,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,0.55,8.000e-02,-7.000e-02,3
0781.01,CONFIRMED,11.598222330,1.4070000e-05,-1.4070000e-05,2.65,2.100e-01,-2.900e-01,1
0782.01,CONFIRMED,6.575315881,3.7260000e-06,-3.7260000e-06,5.31,1.500e+00,-8.100e-01,1
0783.01,CONFIRMED,7.275040844,4.6770000e-06,-4.6770000e-06,4.86,1.050e+00,-3.700e-01,1
0784.01,CONFIRMED,19.271538920,4.1450000e-05,-4.1450000e-05,1.93,1.000e-01,-1.200e-01,2
0784.02,CONFIRMED,10.065243170,1.4900000e-05,-1.4900000e-05,1.91,1.000e-01,-1.200e-01,2
0785.01,CONFIRMED,12.393565100,3.9320000e-05,-3.9320000e-05,2.66,5.400e-01,-2.300e-01,1
0116.02,CONFIRMED,43.844397210,9.6130000e-05,-9.6130000e-05,2.87,4.300e-01,-3.000e-01,4
0798.01,FALSE POSITIVE,3.341913228,9.9530000e-06,-9.9530000e-06,21.55,3.540e+00,-1.890e+00,1
0799.01,FALSE POSITIVE,1.626630225,1.0150000e-06,-1.0150000e-06,32.43,9.000e+00,-4.830e+00,1
0800.01,CONFIRMED,2.711504086,3.8000000e-06,-3.8000000e-06,3.12,1.020e+00,-3.400e-01,2
0800.02,CONFIRMED,7.212037480,1.5530000e-05,-1.5530000e-05,3.32,1.090e+00,-3.600e-01,2
0789.01,FALSE POSITIVE,14.179818700,1.6430000e-04,-1.6430000e-04,1.88,7.100e-01,-1.400e-01,1
0790.01,CONFIRMED,8.472379110,1.5600000e-05,-1.5600000e-05,2.59,3.700e-01,-2.200e-01,2
0790.02,CONFIRMED,60.418936900,5.0430000e-04,-5.0430000e-04,2.36,3.400e-01,-2.000e-01,2
0791.01,CONFIRMED,12.611904345,6.6500000e-06,-6.6500000e-06,7.40,2.200e+00,-7.300e-01,1
0792.01,FALSE POSITIVE,1.433769925,7.4100000e-07,-7.4100000e-07,46.58,8.010e+00,-8.000e+00,1
0793.01,FALSE POSITIVE,10.318723010,2.8460000e-05,-2.8460000e-05,28.59,8.610e+00,-3.690e+00,1
0794.01,CONFIRMED,2.539183147,5.0730000e-06,-5.0730000e-06,2.06,2.900e-01,-2.800e-01,1
0795.01,CONFIRMED,6.770300385,9.5370000e-06,-9.5370000e-06,2.77,4.600e-01,-1.500e-01,1
0796.01,FALSE POSITIVE,0.444291966,9.7000000e-08,-9.7000000e-08,27.51,3.460e+00,-1.730e+00,1
0797.01,CANDIDATE,10.181584004,6.1880000e-06,-6.1880000e-06,7.73,2.170e+00,-7.200e-01,1
0812.02,CONFIRMED,20.060363360,5.8390000e-05,-5.8390000e-05,1.96,1.300e-01,-1.600e-01,4
0812.03,CONFIRMED,46.184203900,2.6540000e-04,-2.6540000e-04,1.83,1.200e-01,-1.500e-01,4
0116.04,CONFIRMED,23.980085400,2.0030000e-04,-2.0030000e-04,1.31,2.000e-01,-1.300e-01,4
0812.04,CONFIRMED,7.825021680,3.8900000e-05,-3.8900000e-05,1.20,8.000e-02,-1.000e-01,4
0813.01,CONFIRMED,3.895936525,7.7100000e-07,-7.7100000e-07,7.34,1.530e+00,-6.500e-01,1
0814.01,CONFIRMED,22.366464660,9.7610000e-05,-9.7610000e-05,2.32,3.800e-01,-1.600e-01,1
0801.01,CONFIRMED,1.625522174,1.5800000e-07,-1.5800000e-07,9.73,1.410e+00,-1.420e+00,1
0802.01,CANDIDATE,19.620346923,3.7300000e-06,-3.7300000e-06,13.60,1.820e+00,-9.200e-01,1
0803.01,FALSE POSITIVE,7.544039000,1.0230000e-04,-1.0230000e-04,17.47,4.120e+00,-1.650e+00,1
0804.01,CONFIRMED,9.029306890,1.6480000e-05,-1.6480000e-05,2.57,4.400e-01,-2.600e-01,1
0805.01,FALSE POSITIVE,10.328035714,3.7620000e-06,-3.7620000e-06,13.28,3.640e+00,-2.410e+00,1
0806.01,CONFIRMED,143.206304700,2.3480000e-04,-2.3480000e-04,8.90,8.200e-01,-3.800e-01,5
0116.03,CONFIRMED,6.164876000,4.6350000e-05,-4.6350000e-05,0.79,1.300e-01,-8.000e-02,4
0806.02,CONFIRMED,60.324942160,3.2070000e-05,-3.2070000e-05,12.19,1.110e+00,-5.200e-01,5
0806.03,CONFIRMED,29.159861500,2.5340000e-04,-2.5340000e-04,1.91,2.000e-01,-7.000e-02,5
0807.01,FALSE POSITIVE,1.540397253,2.7020000e-06,-2.7020000e-06,25.69,7.440e+00,-2.330e+00,1
0808.01,FALSE POSITIVE,2.990254430,1.1680000e-05,-1.1680000e-05,1.70,1.000e-01,-1.500e-01,1
0809.01,CONFIRMED,1.594745374,1.1300000e-07,-1.1300000e-07,11.30,3.090e+00,-1.330e+00,1
0810.01,CONFIRMED,4.783002698,5.4320000e-06,-5.4320000e-06,2.50,3.400e-01,-1.900e-01,1
0811.01,CONFIRMED,20.505889210,3.2060000e-05,-3.2060000e-05,3.41,2.800e-01,-3.100e-01,1
0812.01,CONFIRMED,3.340218842,3.1770000e-06,-3.1770000e-06,2.03,1.300e-01,-1.700e-01,4
0828.01,FALSE POSITIVE,2.507089906,2.4010000e-06,-2.4010000e-06,30.26,9.570e+00,-3.190e+00,1
0829.01,CONFIRMED,18.649327280,5.2020000e-05,-5.2020000e-05,3.12,4.700e-01,-2.800e-01,3
0117.02,CONFIRMED,4.901449760,1.0700000e-05,-1.0700000e-05,1.70,8.000e-02,-5.000e-02,4
0829.02,CONFIRMED,9.751921010,4.8290000e-05,-4.8290000e-05,2.76,4.300e-01,-2.400e-01,3
0829.03,CONFIRMED,38.557654600,1.7650000e-04,-1.7650000e-04,4.02,6.200e-01,-3.600e-01,3
0830.01,CONFIRMED,3.525632539,1.5000000e-07,-1.5000000e-07,11.58,9.000e-01,-4.800e-01,1
0815.01,CANDIDATE,34.843986440,4.0360000e-05,-4.0360000e-05,7.61,1.720e+00,-9.100e-01,1
0816.01,CONFIRMED,7.748094239,7.5530000e-06,-7.5530000e-06,5.52,1.700e+00,-5.600e-01,1
0817.01,CONFIRMED,23.967936690,9.2490000e-05,-9.2490000e-05,1.80,1.000e-01,-1.500e-01,2
0817.02,CONFIRMED,8.295617380,2.3680000e-05,-2.3680000e-05,1.82,1.000e-01,-1.500e-01,2
0818.01,CONFIRMED,8.114374820,1.0920000e-05,-1.0920000e-05,2.10,1.400e-01,-1.600e-01,1
0819.01,FALSE POSITIVE,38.036729482,3.4840000e-06,-3.4840000e-06,27.50,5.280e+00,-2.270e+00,1
0820.01,CANDIDATE,4.640900310,1.4850000e-05,-1.4850000e-05,30.09,5.790e+00,-3.140e+00,1
0011.01,FALSE POSITIVE,3.747838198,3.8960000e-06,-3.8960000e-06,13.65,3.110e+00,-1.040e+00,1
0117.01,CONFIRMED,14.749148250,2.1740000e-05,-2.1740000e-05,2.89,1.300e-01,-1.000e-01,4
0821.01,CONFIRMED,21.812959960,7.2290000e-05,-7.2290000e-05,3.38,9.100e-01,-4.900e-01,1
0822.01,FALSE POSITIVE,7.919369370,2.0400000e-06,-2.0400000e-06,10.34,2.590e+00,-8.700e-01,1
0823.01,CANDIDATE,1.028436523,7.0500000e-07,-7.0500000e-07,72.77,2.771e+01,-8.600e+00,1
0824.01,CONFIRMED,15.375623690,1.0170000e-05,-1.0170000e-05,11.01,4.400e-01,-8.200e-01,1
0825.01,CONFIRMED,8.103632710,2.0320000e-05,-2.0320000e-05,2.11,1.800e-01,-2.000e-01,2
0825.02,CONFIRMED,4.715108430,1.9410000e-05,-1.9410000e-05,1.46,1.200e-01,-1.400e-01,2
0826.01,CONFIRMED,6.365839713,8.0600000e-06,-8.0600000e-06,2.44,6.000e-01,-2.100e-01,1
0827.01,FALSE POSITIVE,5.975817540,1.1180000e-05,-1.1180000e-05,3.86,1.320e+00,-4.400e-01,1
0839.01,FALSE POSITIVE,2.446737317,3.0890000e-06,-3.0890000e-06,26.25,6.900e+00,-2.470e+00,1
0840.01,CONFIRMED,3.040330460,3.3700000e-07,-3.3700000e-07,8.99,8.000e-01,-9.900e-01,1
0841.01,CONFIRMED,15.335286750,1.9890000e-05,-1.9890000e-05,5.00,4.900e-01,-1.800e-01,5
0117.04,CONFIRMED,7.958253280,7.6730000e-05,-7.6730000e-05,1.06,5.000e-02,-4.000e-02,4
0841.02,CONFIRMED,31.330461350,3.9770000e-05,-3.9770000e-05,6.50,6.400e-01,-2.300e-01,5
0831.01,FALSE POSITIVE,3.904342500,1.3390000e-06,-1.3390000e-06,12.28,3.560e+00,-1.190e+00,1
0832.01,FALSE POSITIVE,9.286358079,5.4600000e-07,-5.4600000e-07,17.61,4.050e+00,-1.870e+00,1
0833.01,FALSE POSITIVE,3.951405455,2.2580000e-06,-2.2580000e-06,31.44,8.940e+00,-2.960e+00,1
0834.01,CONFIRMED,23.653694150,1.7480000e-05,-1.7480000e-05,7.89,1.380e+00,-1.520e+00,5
0834.02,CONFIRMED,13.233522140,4.5030000e-05,-4.5030000e-05,3.06,5.400e-01,-5.800e-01,5
0834.03,CONFIRMED,6.155602850,2.7040000e-05,-2.7040000e-05,2.32,4.000e-01,-4.500e-01,5
0834.04,CONFIRMED,2.090811305,9.5710000e-06,-9.5710000e-06,1.62,2.800e-01,-3.200e-01,5
0117.03,CONFIRMED,3.180027898,7.2780000e-06,-7.2780000e-06,1.53,7.000e-02,-5.000e-02,4
0834.05,CONFIRMED,50.446741700,6.5050000e-04,-6.5050000e-04,2.67,4.700e-01,-5.100e-01,5
0835.01,CONFIRMED,11.763071640,2.0350000e-05,-2.0350000e-05,2.35,1.700e-01,-8.000e-02,2
0835.02,CONFIRMED,56.227927100,3.1340000e-04,-3.1340000e-04,2.37,1.700e-01,-9.000e-02,2
0836.01,FALSE POSITIVE,2.384052875,4.7400000e-06,-4.7400000e-06,17.06,1.320e+00,-1.600e+00,1
0837.01,CONFIRMED,7.953547000,1.9100000e-05,-1.9100000e-05,2.25,7.000e-02,-1.400e-01,2
0837.02,CONFIRMED,4.144516560,1.4400000e-05,-1.4400000e-05,1.48,5.000e-02,-9.000e-02,2
0838.01,FALSE POSITIVE,4.859386384,1.2720000e-06,-1.2720000e-06,38.33,1.280e+01,-4.270e+00,1
0850.01,CONFIRMED,10.526294577,1.7830000e-06,-1.7830000e-06,8.24,1.480e+00,-8.000e-01,1
0851.01,CONFIRMED,4.583520948,4.1800000e-06,-4.1800000e-06,5.39,1.600e+00,-5.300e-01,1
0852.01,CONFIRMED,3.761818430,1.1400000e-05,-1.1400000e-05,2.66,7.300e-01,-2.600e-01,1
0853.01,CONFIRMED,8.203969580,1.4880000e-05,-1.4880000e-05,3.01,2.400e-01,-3.000e-01,2
0853.02,CONFIRMED,14.496451860,6.3600000e-05,-6.3600000e-05,3.01,2.400e-01,-3.000e-01,2
0841.03,CONFIRMED,6.546261490,2.6680000e-05,-2.6680000e-05,2.19,2.200e-01,-8.000e-02,5
0842.01,CONFIRMED,12.718098660,2.3240000e-05,-2.3240000e-05,2.31,1.700e-01,-2.200e-01,2
0842.02,CONFIRMED,36.065881630,8.3050000e-05,-8.3050000e-05,2.64,1.900e-01,-2.600e-01,2
0843.01,CONFIRMED,4.190425659,1.6110000e-06,-1.6110000e-06,6.21,2.050e+00,-8.200e-01,1
0844.01,CONFIRMED,3.709870784,3.0430000e-06,-3.0430000e-06,4.35,6.400e-01,-2.800e-01,1
0845.01,CONFIRMED,16.329752700,3.6110000e-05,-3.6110000e-05,3.75,1.110e+00,-4.700e-01,1
0846.01,CONFIRMED,27.807566216,4.7470000e-06,-4.7470000e-06,13.84,3.630e+00,-1.210e+00,1
0847.01,CONFIRMED,80.872346900,1.4680000e-04,-1.4680000e-04,7.59,1.240e+00,-1.520e+00,1
0848.01,FALSE POSITIVE,3.166465862,2.2220000e-06,-2.2220000e-06,26.82,2.480e+00,-2.740e+00,1
0118.01,CONFIRMED,24.993243190,6.1270000e-05,-6.1270000e-05,2.29,1.200e-01,-8.000e-02,1
0849.01,CONFIRMED,10.355331160,2.0870000e-05,-2.0870000e-05,2.47,5.900e-01,-3.100e-01,1
0867.01,CONFIRMED,16.085189370,3.0220000e-05,-3.0220000e-05,3.68,5.400e-01,-3.600e-01,1
0868.01,CANDIDATE,235.998639900,2.7730000e-04,-2.7730000e-04,10.59,3.500e-01,-5.200e-01,1
0869.01,CONFIRMED,7.490183050,1.1810000e-05,-1.1810000e-05,2.56,1.700e-01,-1.200e-01,4
0869.02,CONFIRMED,36.276123800,1.0550000e-04,-1.0550000e-04,3.03,2.000e-01,-1.500e-01,4
0869.03,CONFIRMED,17.460879310,5.2780000e-05,-5.2780000e-05,2.32,1.500e-01,-1.200e-01,4
0854.01,CONFIRMED,56.056075400,2.7530000e-04,-2.7530000e-04,1.94,1.200e-01,-2.200e-01,1
0855.01,CONFIRMED,41.408316686,6.5800000e-06,-6.5800000e-06,11.38,2.070e+00,-1.040e+00,1
0856.01,CANDIDATE,39.748930770,1.5540000e-05,-1.5540000e-05,14.21,4.460e+00,-1.490e+00,1
0857.01,CONFIRMED,5.715425977,7.7790000e-06,-7.7790000e-06,2.47,3.700e-01,-1.700e-01,2
0119.01,CONFIRMED,49.183941850,2.4750000e-05,-2.4750000e-05,8.20,5.000e-01,-5.500e-01,2
0857.02,CONFIRMED,20.026141200,1.2720000e-04,-1.2720000e-04,2.28,3.500e-01,-1.600e-01,2
0858.01,CANDIDATE,13.610148190,5.9690000e-06,-5.9690000e-06,19.02,4.920e+00,-2.280e+00,1
0859.01,FALSE POSITIVE,10.443319910,2.2870000e-05,-2.2870000e-05,2.66,2.000e-01,-2.700e-01,1
0861.01,CONFIRMED,2.237489571,5.0220000e-06,-5.0220000e-06,1.41,1.300e-01,-5.000e-02,1
0862.01,FALSE POSITIVE,5.851520671,3.3100000e-07,-3.3100000e-07,14.62,2.920e+00,-1.580e+00,1
0863.01,CONFIRMED,3.167893418,3.8690000e-06,-3.8690000e-06,2.62,7.800e-01,-2.600e-01,1
0864.01,CONFIRMED,4.311780262,4.3420000e-06,-4.3420000e-06,3.11,3.900e-01,-2.100e-01,3
0864.02,CONFIRMED,20.050449400,8.8260000e-05,-8.8260000e-05,2.69,3.300e-01,-1.800e-01,3
0864.03,CONFIRMED,9.767345030,3.0520000e-05,-3.0520000e-05,2.67,3.300e-01,-1.800e-01,3
0865.01,CANDIDATE,119.020704400,1.1790000e-04,-1.1790000e-04,8.98,1.230e+00,-1.350e+00,1
0119.02,CONFIRMED,190.320046800,5.3270000e-04,-5.3270000e-04,7.78,4.800e-01,-5.200e-01,2
0866.01,FALSE POSITIVE,2.861159894,3.0590000e-06,-3.0590000e-06,4.37,1.380e+00,-4.600e-01,1
0880.01,CONFIRMED,26.444393370,3.6500000e-05,-3.6500000e-05,3.91,4.300e-01,-2.900e-01,4
0880.02,CONFIRMED,51.539979720,5.6130000e-05,-5.6130000e-05,5.51,6.200e-01,-4.100e-01,4
0880.03,CONFIRMED,5.902245782,7.3730000e-06,-7.3730000e-06,2.43,2.700e-01,-1.800e-01,4
0880.04,CONFIRMED,2.382951591,2.8080000e-06,-2.8080000e-06,1.86,2.100e-01,-1.300e-01,4
0881.01,CONFIRMED,21.022506080,4.0910000e-05,-4.0910000e-05,3.07,2.100e-01,-1.400e-01,2
0869.04,CONFIRMED,3.219814777,5.5310000e-06,-5.5310000e-06,1.69,1.100e-01,-8.000e-02,4
0870.01,CONFIRMED,5.912273234,7.0390000e-06,-7.0390000e-06,1.73,9.000e-02,-1.000e-01,2
0870.02,CONFIRMED,8.985819010,1.4370000e-05,-1.4370000e-05,1.65,9.000e-02,-9.000e-02,2
0871.01,CANDIDATE,12.940668656,3.3520000e-06,-3.3520000e-06,22.94,4.930e+00,-1.960e+00,1
0120.01,FALSE POSITIVE,20.545237500,1.4280000e-04,-1.4280000e-04,2.41,5.600e-01,-6.300e-01,1
0872.01,CONFIRMED,33.601233710,1.7670000e-05,-1.7670000e-05,8.46,4.000e-01,-5.000e-01,2
0872.02,CONFIRMED,6.766529280,1.5770000e-05,-1.5770000e-05,1.97,9.000e-02,-1.200e-01,2
