KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days],nplanets
3.01,3.1388304157634845,0.1056642655347172,15.43585666772742,4.887802689193931,15.341983747092463,0
12.01,69.92184724689166,1.1539535680194624,260.5196938969186,17.855219197281716,1248.4699092720996,0
17.01,3.368361746827452,0.1112757273322786,10.630631108527837,3.2346992405381303,10.895637184320448,0
41.02,2.267716840941277,32.6615507588518,241.9727262282429,6.887125336378041,15.618050110977842,1
41.03,28.04810360777058,58.7532301416848,101.51802363480148,35.33312800668858,991.0272351182218,1
42.01,53.68706293706294,15.350818921385066,1332.6693465510707,17.833625687405117,957.4349846757408,0
46.01,4.099200633592024,1.4636454977384663,20.390491518049544,3.487688385277447,14.296734438700854,1
49.01,2.570356654209313,4.507154908928798,58.27471928799207,8.313774939569264,21.369366737520483,0
63.01,3.9826236447829344,0.4598753952251668,71.07192205828017,9.434151997790364,37.57267681487606,0
70.01,4.18470736312146,2.286247902058303,53.5637179632738,10.854092478155852,45.421200713340056,1
70.02,2.680584878702684,4.542491966761935,110.52876161813606,3.696122381058176,9.907769764499106,1
70.03,4.711864406779661,6.151928602216337,17.440625874377425,77.61174690827983,365.6960278051151,1
70.05,2.2951040911703697,35.3106184970334,64.33826064412378,19.577811041958675,44.933114218559794,1
72.01,17.900161645107985,1.7637629156183918,28.087351335583666,0.8374909570708183,14.99122350788384,1
72.02,11.05803869246164,6.279137216537985,30.232466239547637,45.29429416975457,500.8660574768857,1
75.01,5.891891891891891,39.68775110109221,1165.8766419994909,105.88249951005432,623.8482403565363,0
82.02,20.496658584185937,9.38963836535692,116.6798519721042,10.311775837122578,211.3569487301596,1
82.03,5.766408149091331,20.36524566175517,63.63337861390917,27.45373778165288,158.3094572671397,1
82.04,2.8370387745159955,20.097303465093603,70.38569577039789,7.071378336414342,20.061774529679905,1
84.01,33.7533499886441,5.370229870423745,298.08812556079954,9.286970707749262,313.4663726329467,0
85.01,28.443601895734595,2.3253359270831675,27.45052246948535,5.859938525390685,166.67775854969068,1
85.02,2.8186491190150047,14.251618471124331,452.8463977413176,2.1549012049019853,6.073910382761353,1
85.03,7.450811405519392,14.828711122725748,152.3786926048817,8.131180128794055,60.58388964395139,1
89.01,5.018340611353712,24.31670499485885,131.37256920990194,84.6872792847387,424.9896128996581,1
89.02,12.0,209.7738430462077,165.5134202819214,207.63704549391028,2491.6445459269235,1
92.01,6.856439704675965,3.652549094038711,13.0921431931487,65.70458789729328,450.4995452383735,0
94.01,5.677164056059357,0.942948265492827,36.53553967232489,22.342969568311474,126.84470373884594,1
94.02,15.052621489504457,5.772275335239664,85.75990772228454,10.423673126464443,156.9036061029888,1
94.03,13.059907834101384,5.89862708348687,70.49598771738718,54.31999422231902,709.4141180924059,1
94.04,21.170916838671012,42.22350204406695,409.9100322707652,3.743171442405044,79.24637132004541,1
100.01,11.847213450028573,2.374391078723764,28.447366071648617,9.966404508347235,118.07412153971676,0
103.01,17.59818253654682,26.801145687536085,2236.2653947778035,14.910994669087856,262.4064059880846,0
105.01,3.957297389137453,1.3140594871496298,14.75042234734792,8.981014704137372,35.540546040487904,0
107.01,44.07693250030626,3.087947126133753,12.167797942193944,7.256969429257045,319.8649516901488,0
108.01,2.8070847829727064,3.216660150403072,13.749822349714693,15.965316941067927,44.81599824060814,1
108.02,5.776223776223776,22.441847751799585,328.0012556543243,179.60783351200794,1037.4550383281016,1
111.01,13.461967963386726,6.0946142506096,80.97801940125532,11.427585457320411,153.83778932531143,1
111.02,12.466627288836388,7.972727495105758,52.17895548598591,23.66829141242893,295.0637676023184,1
111.03,52.0,33.05559214102438,12.267587550715795,51.757333946035295,2691.381365193836,1
112.02,3.894878019227797,13.365399655257914,87.48648023115288,3.709185418445648,14.446824755544212,1
115.01,9.637294140804409,1.961172684292494,16.522709517342605,5.412202426298337,52.15898673181237,1
115.02,2.6070879566226,16.623475799543876,131.91785027732453,7.125936712842364,18.577943783706164,1
116.01,2.2072718170836554,4.26649386447412,11.275811465842168,13.570782728858768,29.95440625317558,1
