KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days]
1.01,2.8539874419864324,0.013286418634517592,-8.143484677290786,2.470613372688795,7.051099539657566
2.01,2.008972787222967,0.05490947792942334,7.463235452176264,2.204735414823434,4.4292534514070185
3.01,3.1388304157634845,0.10566426553471729,15.435856667727421,4.887802689193931,15.341983747092465
5.01,10.926647869955875,0.5987539598702034,1.8082145605891355,4.780328047686136,52.23296127994004
7.01,2.584301725173464,1.1690159432068665,6.161470012945358,3.2136691768961216,8.305090797989433
10.01,2.041274334777995,0.1687154331045522,3.17007007114546,3.5224986236590623,7.190386034766056
12.01,69.92184724689166,1.1539535680194624,260.5196938969186,17.855219197281716,1248.4699092720996
13.01,4.048978638190387,0.02769190470126235,4.834124487811209,1.7635875755258157,7.140728419882003
17.01,3.3683617468274516,0.11127572733227868,10.630631108527837,3.2346992405381303,10.895637184320448
18.01,6.675034697332499,0.17197373653341907,4.861149074852619,3.5484654666427375,23.68613011212643
20.01,3.474878020310494,0.12472972160744923,8.551041002918424,4.437963097335227,15.421380421879261
22.01,2.6740919721421834,0.1873529990853602,7.636673950653659,7.891448103128037,21.102458021151346
41.01,2.519545310328983,5.286634887827742,8.754145885985224,12.8158720933982,32.29017043069752
41.02,2.267716840941277,32.6615507588518,241.9727262282429,6.887125336378041,15.618050110977842
41.03,28.04810360777058,58.7532301416848,101.51802363480147,35.33312800668858,991.0272351182218
42.01,53.68706293706294,15.350818921385066,1332.6693465510707,17.833625687405117,957.4349846757409
46.01,4.099200633592024,1.4636454977384665,20.390491518049544,3.487688385277447,14.296734438700854
49.01,2.570356654209313,4.507154908928798,58.27471928799207,8.313774939569264,21.369366737520483
63.01,3.9826236447829344,0.4598753952251668,71.07192205828017,9.434151997790364,37.57267681487606
69.01,7.133778922827546,1.0158480209866174,5.536864211732848,4.726739059969106,33.7195114797133
70.01,4.18470736312146,2.286247902058303,53.5637179632738,10.854092478155852,45.421200713340056
70.02,2.680584878702684,4.542491966761935,110.52876161813606,3.696122381058176,9.907769764499106
70.03,4.711864406779661,6.151928602216337,17.440625874377425,77.61174690827983,365.6960278051151
70.05,2.2951040911703697,35.310618497033396,64.33826064412378,19.577811041958675,44.933114218559794
72.01,17.900161645107985,1.7637629156183918,28.087351335583662,0.8374909570708183,14.991223507883841
72.02,11.05803869246164,6.279137216537985,30.232466239547634,45.29429416975457,500.8660574768857
75.01,5.891891891891891,39.68775110109221,1165.8766419994909,105.88249951005433,623.8482403565363
82.01,7.513274336283185,1.2665067520359121,8.378792678967585,16.14568716763161,121.30697703822334
82.02,20.496658584185937,9.38963836535692,116.67985197210419,10.311775837122578,211.35694873015962
82.03,5.766408149091331,20.36524566175517,63.63337861390917,27.453737781652876,158.3094572671397
82.04,2.8370387745159955,20.097303465093603,70.38569577039789,7.071378336414342,20.061774529679905
84.01,33.7533499886441,5.370229870423745,298.08812556079954,9.286970707749262,313.4663726329467
85.01,28.443601895734595,2.3253359270831675,27.45052246948535,5.859938525390685,166.67775854969068
85.02,2.8186491190150047,14.251618471124333,452.84639774131756,2.1549012049019853,6.073910382761353
85.03,7.450811405519392,14.828711122725748,152.37869260488173,8.131180128794055,60.58388964395139
87.01,2.0,2.205011274904248e+16,0.22634771667935905,289.8645359722221,579.7290719444442
89.01,5.018340611353712,24.316704994858846,131.37256920990194,84.6872792847387,424.98961289965814
89.02,12.0,209.7738430462077,165.5134202819214,207.63704549391028,2491.6445459269235
92.01,6.856439704675965,3.652549094038711,13.0921431931487,65.70458789729328,450.4995452383735
94.01,5.677164056059357,0.942948265492827,36.53553967232489,22.342969568311474,126.84470373884594
94.02,15.052621489504457,5.772275335239664,85.75990772228454,10.423673126464443,156.9036061029888
94.03,13.059907834101383,5.89862708348687,70.49598771738718,54.31999422231902,709.4141180924059
94.04,21.170916838671015,42.22350204406695,409.9100322707652,3.743171442405044,79.24637132004541
97.01,6.951261271544343,0.13494755778775386,3.7947459729123807,4.885488898838154,33.960309775053474
98.01,4.382175425997603,0.37651827903298635,3.3527219205101346,6.790121039399081,29.755501558403953
100.01,11.847213450028573,2.374391078723764,28.447366071648617,9.966404508347235,118.07412153971677
102.01,2.4160674435903795,0.5759083073154824,9.978279389988074,1.7351362425598655,4.192206185842631
103.01,17.59818253654682,26.801145687536085,2236.2653947778035,14.910994669087856,262.4064059880846
104.01,5.071230911971218,0.5269461589019367,5.803081175200873,2.508057209701741,12.718937250831747
105.01,3.9572973891374534,1.3140594871496298,14.750422347347921,8.981014704137372,35.540546040487904
107.01,44.07693250030626,3.0879471261337526,12.167797942193943,7.256969429257045,319.8649516901488
108.01,2.8070847829727064,3.216660150403072,13.749822349714691,15.965316941067929,44.81599824060814
108.02,5.776223776223776,22.441847751799585,328.0012556543243,179.60783351200794,1037.4550383281016
110.01,6.857152878864941,1.9657116664892922,5.410473038160745,9.940673500232842,68.16471790997807
111.01,13.461967963386726,6.0946142506096,80.97801940125532,11.427585457320411,153.83778932531143
111.02,12.466627288836387,7.972727495105758,52.17895548598591,23.668291412428932,295.0637676023184
111.03,52.0,33.05559214102438,12.267587550715795,51.757333946035295,2691.3813651938353
112.01,2.2730337078651686,2.459160791531239,-1.4779923549332352,51.07926692918369,116.10489550307709
112.02,3.8948780192277965,13.365399655257914,87.48648023115288,3.709185418445648,14.446824755544212
115.01,9.637294140804409,1.9611726842924941,16.522709517342605,5.412202426298337,52.15898673181237
115.02,2.6070879566225997,16.623475799543876,131.91785027732453,7.125936712842364,18.577943783706164
